x,y
771009.0265599615,5865704.786133583
771033.0153696358,5865696.704542651
771086.160606006,5865698.304013635
771178.3723270955,5865669.322223153
771240.5183385503,5865641.438400019
771313.429474636,5865604.352274578
771439.6792146887,5865564.673524342
771527.8017527778,5865545.482577269
771596.8659411467,5865515.11728412
771764.6708374451,5865455.865287328
771866.4827268546,5865431.21829688
771916.5488660819,5865428.390867817
772010.9935306133,5865413.175533605
772084.5966947827,5865406.282022364
772128.1149899386,5865402.922747068
772186.7358933506,5865417.838152068
772242.5551638498,5865426.066994893
772279.4194154029,5865422.617543745
772351.0191843624,5865441.661311427
772364.1177397397,5865442.787255715
772437.7265536265,5865438.890749293
772541.6484701158,5865387.864466052
772672.3637525268,5865335.505143104
772737.5594417708,5865311.361777687
772819.2297858736,5865288.075060297
772852.8188117316,5865284.328449369
772883.7096017408,5865273.391265876
772910.6254608434,5865269.118204762
773025.6617145041,5865245.5911685815
773099.3687180638,5865238.193378883
773171.7085916839,5865208.124386353
773247.179555919,5865180.793894445
773358.3709784807,5865123.836082837
773555.0981524271,5864997.092062012
773600.5248604,5864971.358263482
773635.3823861253,5864950.6972817965
773760.3910961372,5864888.339902541
773863.8423360304,5864843.764244026
774042.4144689839,5864815.521184582
774123.6169924407,5864798.747947045
774170.0817102744,5864799.63337639
774204.0220638788,5864792.437035581
774217.11802762,5864793.50055661
774233.3696228048,5864797.863585494
774246.841244303,5864796.038586924
774355.5532398963,5864768.4723572275
774407.0544275901,5864749.65961015
774427.177497636,5864747.862373457
774530.6289584105,5864703.286225319
774545.4887016132,5864684.416846275
774570.5447206734,5864663.425395604
774589.4990686993,5864634.8892714325
774602.1503721742,5864602.813556968
774608.476834608,5864566.699627597
774612.9416376894,5864554.019701702
774611.7728844516,5864527.280821331
774617.0351308845,5864504.1384861
774618.4504535015,5864487.717387246
774626.0626410964,5864475.27751687
774626.434432133,5864432.112165594
774632.9840078678,5864392.491735113
774633.0073776203,5864352.838185425
774646.8262357421,5864307.286787959
774643.2273729974,5864230.695809866
774646.0540318697,5864157.576691805
774652.157229619,5864124.969130782
774654.3890009659,5864098.521869561
774656.2723758175,5864075.586428547
774670.8083819939,5863980.422874061
774678.6519265255,5863967.535931372
774676.3154806774,5863954.272614741
774682.173687025,5863924.672851961
774688.4972507354,5863888.496441098
774685.4710077014,5863845.101629098
774686.883532522,5863828.618142246
774692.9866533785,5863796.010512738
774693.5799791812,5863789.490839223
774695.814414657,5863763.105856721
774722.3820420768,5863681.977201652
