Test Year,Obs Vol,Model Vol,Model Stdev
0,17658051655.311363,16351877224.810158,631664131.2798682
1,15620233732.300798,16373311523.004786,249482952.31776962
2,14596761914.91072,15944819351.721874,728095077.3597288
3,13849282937.548801,15613820656.762037,240834939.14084363
4,16637855797.186558,15192319806.345455,339149593.9155098
5,15816889151.0784,18188967498.534527,985834089.7846962
6,15245487479.439358,17393748197.89476,82206930.19167458
7,15205251164.221441,17231315785.636143,207802897.43911293
8,17715712452.89472,18183704485.6337,902573312.4423198
9,19477199909.007362,16265903686.429379,159967557.91986006
10,15634622019.40992,15776581377.596586,235843615.09672326
11,12842420894.208,18154239972.408722,288242810.3028585
12,15631023112.704,16222312538.624945,136843516.2220487
13,15876450934.7328,15532950478.851807,189127462.22464475
14,17767892930.27328,14890941469.848026,77667104.13866808
15,18321813848.40192,15984388032.619024,128803400.25842316
16,16063594083.44064,18538570312.690002,486174408.40233344
17,17746754552.34048,17183324543.953575,306487833.4625301
18,15552165219.47136,15798635300.463165,113697821.13987365
19,12895817317.632002,16655057767.643526,131816025.77593726
20,16437836342.56896,16105843040.71464,347295060.625219
21,14873038557.235199,16250357844.99733,65289171.74669453
22,14993786648.03328,19836714340.899506,167912302.28526482
23,15392357614.356482,14674808416.672318,285757719.2576446
24,15540876738.478083,15955946180.767017,152175469.69837028
25,18225259903.36512,15279053287.737627,116452857.48762718
26,15057223800.97536,15276804643.505466,453345084.1740696
27,13120238876.59008,15211988823.50352,157542651.03074718
28,13526296351.76448,16014770260.055347,110830089.29011604
29,16186585680.32256,15932682856.6764,325252308.361789
30,19991180547.072002,17484194885.002586,450021985.85519135
31,17360876399.063038,16679023546.197287,200660114.77254587
32,16233794724.372478,17528301141.409447,301688690.5347744
33,16841931667.38432,16681786972.402342,308106983.18638456
34,15624126227.58912,18046185026.335026,577283160.2642957
35,16742860200.25344,16840096840.050106,0.0
