ERA/Clim Combo,Set1,Set2,Set3,Set4,Set5
ERA5,0.748564365,0.701938866,0.76215285,0.731689841,0.748902783
wclim0,0.276093759,0.294204914,0.272573197,0.30218295,0.357622835
wclim1,0.505557986,0.494644956,0.5118619,0.497704746,0.518724998
woclimJ,0.413237295,0.414191245,0.428247895,0.441010554,0.46340865
woclimJF,0.551999134,0.531068582,0.588327103,0.590633007,0.593743408
woclimJFM,0.739168575,0.71208285,0.737201628,0.721616747,0.734392189
woclimJFMA,0.75398935,0.74343649,0.766360756,0.761197288,0.776494666
woclimJFMAM,0.736646532,0.7002449,0.734558057,0.721904612,0.739554917
woclimJFMAMJ,0.735247059,0.690075286,0.732416827,0.70188205,0.732025378
wclimJFMA,0.233125803,0.248642347,0.234855501,0.25144276,0.303530388
