Test Year,Obs Vol,Model Vol,Model Stdev
0,17658051655.31136,14967741969.895927,88358591.77427548
1,15620233732.300798,14547661480.837658,244887884.38772961
2,14571892515.409918,16235819886.22714,79323333.80136302
3,13849282937.548801,15499255020.290194,243502015.58058244
4,16637855797.18656,15214809449.702238,169975191.8816614
5,15816889151.078402,12453848188.368132,233397707.06036967
6,15209048243.220482,13030660288.719137,95672032.44679506
7,15205251164.22144,17112558821.145826,143402568.51829037
8,17715712452.89472,17422340090.849316,61077582.35883417
9,19477199909.007355,18115118717.914425,187547219.44093212
10,15604115719.12704,14083923774.98065,69207220.46574889
11,12842420894.208002,14264735779.497358,87685356.43659875
12,15631023112.703999,15348797660.708515,76456878.92372672
13,15876450934.732801,13154278187.343939,108425521.21584575
14,17735475857.633278,20250547233.713562,212019375.07457584
15,18321813848.401917,17304582347.493607,84890699.58378115
16,16063594083.44064,14798867856.368786,73029317.64008856
17,17746754552.34048,19492226749.25283,363911947.0859327
18,15496554648.82176,18938690852.933655,218957390.57253453
19,12895817317.632002,14063855983.969444,160270080.1748372
20,16437836342.568962,13719712465.756575,61876243.36231621
21,14873038557.2352,14138430946.346199,118954742.20708048
22,14955522269.46048,15085074871.762672,113829448.59127764
23,15392357614.356482,15141925861.766806,163030668.85582334
24,15540876738.47808,15978464216.784527,84831601.16061383
25,18225259903.36512,16691766276.4169,112174297.70336801
26,15034189330.11456,18511100203.30414,110204696.13278817
27,13120238876.590078,17104975761.158554,146174561.4228402
28,13526296351.76448,13241181088.876812,358871734.27405053
29,16186585680.322565,16460344476.623394,116142082.50746693
30,19961437577.103355,19576580130.415794,208698240.63954964
31,17360876399.063038,15186145082.51093,103049430.59615864
32,16233794724.372477,16695007069.686607,133337022.16998066
33,16841931667.384321,17252933628.919674,134782315.42235348
34,15586219048.45824,13279315915.669443,761448706.9219602
35,16742860200.25344,16560011738.32674,84753252.55908558
