Test Year,Obs Vol,Model Vol,Model Stdev
0,17658051655.31136,12787357153.298878,307683604.69993263
1,15620233732.300798,14597384551.665531,352783512.1031271
2,14571892515.409918,13751596066.890144,283093919.3404942
3,13849282937.548801,13750807498.728704,347222009.0585579
4,16637855797.18656,13198909933.788147,386171740.86479497
5,15816889151.078402,12689193951.388178,331738542.7761575
6,15209048243.220482,11579889215.681017,248085355.6936967
7,15205251164.22144,13354203769.065643,394106289.4992311
8,17715712452.89472,14107930807.020546,216583780.51673302
9,19477199909.007355,15815067179.292166,321225301.11296195
10,15604115719.12704,13228540892.009712,171721802.4140837
11,12842420894.208002,12544043441.368664,268535761.9801763
12,15631023112.703999,13511439720.92048,253812539.9931879
13,15876450934.732801,12676247855.943848,246526663.34437397
14,17735475857.633278,17398632017.54709,678305211.8335956
15,18321813848.401917,14775480241.10995,327758767.86293936
16,16063594083.44064,13347634960.418491,244359400.95229217
17,17746754552.34048,14820243809.510717,238542407.53906086
18,15496554648.82176,15626724251.25097,259530429.47430974
19,12895817317.632002,12222428639.526112,337813868.08929443
20,16437836342.568962,12680958357.322392,191624487.40625003
21,14873038557.2352,12958239069.546715,206543826.26461864
22,14955522269.46048,13065597691.688097,303480908.2974265
23,15392357614.356482,13534753133.744362,273599271.9106477
24,15540876738.47808,13517251287.980267,214504592.30093434
25,18225259903.36512,14409943373.683702,228868292.66514498
26,15034189330.11456,14838024024.145346,277650990.27872056
27,13120238876.590078,14443849277.630905,299436184.7249039
28,13526296351.76448,14281651339.523937,578688694.7752793
29,16186585680.322565,13307669078.74552,223639522.22689795
30,19961437577.103355,15646980261.304651,199839562.83352232
31,17360876399.063038,13324117284.01265,217505596.0570876
32,16233794724.372477,13812113827.57601,195648534.40299708
33,16841931667.384321,14520486147.028051,212155633.9001836
34,15586219048.45824,13337229487.853699,148517603.64374697
35,16742860200.25344,13785807069.980705,222143112.30134407
