Test Year,Obs Vol,Model Vol,Model Stdev
0,17658051655.31136,15189427401.913109,139524983.89037815
1,15620233732.300798,15888809255.932543,93528946.14876775
2,14571892515.409918,15817317220.135973,19130532.408406608
3,13849282937.548801,15863433678.713118,189868011.64708334
4,16637855797.18656,15732250571.935604,167559215.96537146
5,15816889151.078402,13979257531.996439,318073397.3550405
6,15209048243.220482,13458185882.766317,122162982.13546526
7,15205251164.22144,15995179140.340172,62344659.234376565
8,17715712452.89472,16566245075.853006,46354258.19876469
9,19477199909.007355,18179191224.838852,167731582.8418261
10,15604115719.12704,15179741062.45051,68266838.88901147
11,12842420894.208002,14671788247.669321,36536696.03335384
12,15631023112.703999,15798212919.910492,54493006.46547166
13,15876450934.732801,14703653273.755642,167162383.66037768
14,17735475857.633278,19759980928.66735,297487741.96731424
15,18321813848.401917,17375905759.910038,152344995.89905924
16,16063594083.44064,15505901022.264833,89791857.84439418
17,17746754552.34048,17318806861.028847,193130907.6874958
18,15496554648.82176,17987331538.147842,88558114.52466871
19,12895817317.632002,14085755222.017738,100446271.41813506
20,16437836342.568962,14720368927.021328,71990034.06420851
21,14873038557.2352,14519515204.432621,52207131.510085225
22,14955522269.46048,15311935942.999668,89535720.5261376
23,15392357614.356482,15795996527.316221,198950522.14266965
24,15540876738.47808,15731267608.681265,108090880.05725221
25,18225259903.36512,16499609896.486057,20794363.73452416
26,15034189330.11456,17193359331.739403,73954613.31524721
27,13120238876.590078,16522762145.308325,110485362.07464583
28,13526296351.76448,14805362576.17231,85360794.52254128
29,16186585680.322565,15885842625.981321,65731429.4008921
30,19961437577.103355,17889727552.435474,103271400.51383883
31,17360876399.063038,15793666001.591454,90212305.09071116
32,16233794724.372477,16032092892.910849,105706951.49114217
33,16841931667.384321,16620396135.719564,156904805.00868765
34,15586219048.45824,15123483525.611578,674135734.380348
35,16742860200.25344,15948289571.188583,107055254.77274914
