Test Year,Obs Vol,Model Vol,Model Stdev
0,17658051655.31136,15201552547.345926,112908058.49316514
1,15620233732.300798,14748721334.759779,122862329.59502012
2,14571892515.409918,16117877608.754488,166637470.82377416
3,13849282937.548801,16878576611.444714,190062812.92485064
4,16637855797.18656,16735507641.694527,176804148.60091352
5,15816889151.078402,14662687334.914717,121548223.18403208
6,15209048243.220482,13133738168.37242,78749107.89456011
7,15205251164.22144,15201206390.890652,50356606.581775166
8,17715712452.89472,16106574750.509123,51725922.93090419
9,19477199909.007355,18483038641.83606,69837661.49083206
10,15604115719.12704,15668962564.614716,86658007.83154853
11,12842420894.208002,14974659785.441454,143733226.20101866
12,15631023112.703999,15873429480.728144,240196686.04282632
13,15876450934.732801,15379992873.177675,109879152.06840032
14,17735475857.633278,19076896910.24399,198984378.2401015
15,18321813848.401917,17106394704.856407,186609400.88016623
16,16063594083.44064,16371933551.07937,118137413.55149016
17,17746754552.34048,17373032308.96479,309628543.3546972
18,15496554648.82176,17891298640.55088,62777916.2591229
19,12895817317.632002,14278535975.11089,98330389.84714048
20,16437836342.568962,14633404781.931606,47244655.138108656
21,14873038557.2352,14185300390.046566,130404122.99381858
22,14955522269.46048,15900516433.069672,67434081.25569919
23,15392357614.356482,15648924475.66858,178296472.88995397
24,15540876738.47808,15680021079.25785,106650199.24016432
25,18225259903.36512,16420415272.69053,113563166.04021476
26,15034189330.11456,16665107190.700047,88822112.94633853
27,13120238876.590078,16151821967.2528,28364268.37749719
28,13526296351.76448,15523368885.270834,304349583.2071501
29,16186585680.322565,14830006467.325026,85231954.01513614
30,19961437577.103355,16696403909.606186,46184780.01336111
31,17360876399.063038,16468640980.71956,191674408.61295962
32,16233794724.372477,15366349882.905111,98204713.94112805
33,16841931667.384321,15920634604.493362,94146392.73038378
34,15586219048.45824,15268956250.617386,238395455.8330788
35,16742860200.25344,15806439920.743748,97368919.88786817
