Obs Volume,Model Volume,Model Stdev
328694437.14048004,245920352.60144448,9492291.001594452
254255052.0729599,232865798.42627358,10969486.04570329
319304495.64671993,266308171.13265586,14779969.5905704
435541108.5619199,887198901.958377,9242312.86695902
2355307062.58944,2436256611.310142,25712951.525516536
4030332681.18528,4183350367.8346252,46105266.502644606
4332379061.32992,4324339141.269483,43075736.35824086
2628312638.79168,2731213264.401904,21497361.978583157
1549668187.0540795,1387554460.7517004,8758241.669629218
1001959114.01472,745244067.422501,11289261.3679255
706819405.2710397,542102866.2195696,8315650.14799755
478062521.5795201,439731668.6942426,10562940.720283978
