Obs Volume,Model Volume,Model Stdev
328694437.14048004,245920352.60144448,9492291.001594452
254255052.0729599,77961972.73908353,10503752.132986136
319304495.64671993,0.0,27461084.03292961
435541108.5619199,327612838.57057333,48172542.362078585
2355307062.58944,1626293697.9962995,71921074.25805435
4030332681.18528,3448946673.1288977,71838005.41256854
4332379061.32992,3924151455.5598564,54640818.312989116
2628312638.79168,2715097770.5722055,58063913.83692636
1549668187.0540795,1446129066.4076478,38676243.78380954
1001959114.01472,798623106.2194741,29578482.09094236
706819405.2710397,575638485.9825057,26054107.88049903
478062521.5795201,458392063.1484684,24314695.805007644
