Obs Volume,Model Volume,Model Stdev
328694437.14048004,245920352.60144448,9492291.001594452
254255052.0729599,231684849.0025971,10292251.493875286
319304495.64671993,53653964.94410038,14807204.29505254
435541108.5619199,571730443.9741563,24062052.1130541
2355307062.58944,2095660863.766271,25324435.71002248
4030332681.18528,4203301357.563902,40828671.79283913
4332379061.32992,4609193461.9045725,30880987.32108514
2628312638.79168,2840552802.484961,28237220.790708426
1549668187.0540795,1402000578.9903731,10674771.870075747
1001959114.01472,747260764.8904169,11085248.933384951
706819405.2710397,526084432.3349321,13620727.43633714
478062521.5795201,475855615.51984036,11379240.629832307
