Obs Volume,Model Volume,Model Stdev
328694437.14048004,294832592.5118325,13197507.751571314
254255052.0729599,245920791.25233483,25107904.70936297
319304495.64671993,206098173.86254072,29098466.685748983
435541108.5619199,668046369.6409928,14872149.038189018
2355307062.58944,2031129564.7356286,19072690.706172377
4030332681.18528,3786339526.8416815,17696228.99451541
4332379061.32992,4026641662.445945,15420559.885543793
2628312638.79168,2698272134.693571,17683128.18906625
1549668187.0540795,1409069066.9205844,7516731.804725328
1001959114.01472,754288669.1776862,18091632.75411659
706819405.2710397,507169890.30337167,11400721.301037382
478062521.5795201,402016583.249022,20270499.6350997
